itemonagendaid,GL_rec
13519252,For
13519253,For
7513209,For
7513210,For
7513211,For
7513212,For
7513213,Withhold
7513214,For
7513215,For
7513216,For
7859543,For
7859544,For
7859545,For
7859546,Withhold
7859547,For
7859548,For
8198049,For
8198050,For
8198051,For
8198052,For
8198053,Withhold
8198054,For
8198055,For
8198056,For
10955441,For
10955442,For
10955443,For
10955444,For
10955445,For
10955446,For
10955447,For
10955448,For
10955449,For
7291959,For
7291968,For
7291960,For
7291961,For
7291962,For
7291963,For
7291964,For
7291965,For
7291966,For
7291967,For
7291969,Withhold
7291970,For
7291971,For
7291972,For
7291973,Against
7291974,For
7615548,For
7615557,For
7615549,For
7615550,For
7615551,For
7615552,For
7615553,For
7615554,For
7615555,For
7615556,For
7615558,For
7615559,For
7615560,For
7615561,For
7615562,For
7615563,For
7615564,Against
7615566,Against
7615565,For
7968370,For
7968380,For
7968371,For
7968372,For
7968373,For
7968374,For
7968375,For
7968376,For
7968378,For
7968379,For
7968381,For
7968382,For
7968383,For
7968384,For
7968385,Against
8309625,For
8309634,For
8309626,For
8309627,For
8309628,For
8309629,For
8309630,For
8309631,For
8309632,For
8309633,For
8309635,For
8309636,Against
8309637,1 Year
8309638,Against
8664944,For
8664953,For
8664945,For
8664946,For
8664947,For
8664948,For
8664949,Withhold
8664950,For
8664951,For
8664952,For
8664954,For
8664955,For
8664956,For
8664957,Against
8664958,For
8664959,For
8664960,For
8664961,Against
8664962,For
8664963,For
9130697,For
9130706,For
9130698,For
9130699,For
9130700,For
9130701,For
9130702,For
9130703,For
9130704,For
9130705,For
9130707,For
9130708,For
9130709,Against
9130710,Against
9130711,Against
9130712,For
9130713,Against
9130714,For
9130715,Against
9568241,For
9568250,For
9568242,For
9568243,For
9568244,For
9568245,For
9568246,For
9568247,For
9568248,For
9568249,For
9568251,For
9568252,For
9568253,For
9568254,Against
9568255,Against
9568256,Abstain
10030454,For
10030463,For
10030455,For
10030456,For
10030457,For
10030458,For
10030459,For
10030460,For
10030461,For
10030462,For
10030464,For
10030465,For
10030466,For
10030467,Against
10030486,For
10593207,For
10593216,For
10593208,For
10593209,For
10593210,For
10593211,For
10593212,For
10593213,For
10593214,For
10593215,For
10593217,For
10593218,For
10593219,For
11168957,For
11168966,For
11168958,For
11168959,For
11168960,For
11168961,For
11168962,For
11168963,For
11168964,For
11168965,For
11168967,For
11168968,For
11168969,For
11168970,1 Year
11168971,For
11168972,For
11168973,For
11876277,For
11876286,For
11876278,For
11876279,For
11876280,For
11876281,For
11876282,For
11876283,For
11876284,For
11876285,For
11876287,For
11876288,For
11876289,For
11876290,For
11876291,For
12596436,For
12596445,For
12596437,For
12596438,For
12596439,For
12596440,For
12596441,For
12596442,For
12596443,For
12596444,For
12596446,For
12596447,For
12596448,For
12596449,For
12596450,For
12596451,For
13280008,For
13280017,For
13280009,For
13280010,For
13280011,For
13280012,For
13280013,For
13280014,For
13280015,For
13280016,For
13280018,For
13280019,For
13280020,For
13280021,For
13280022,For
13280023,For
13280024,For
13280025,Against
13280026,Against
13280027,For
13982477,For
13982478,For
13982479,For
13982480,For
13982481,For
13982482,For
13982483,For
13982484,For
13982485,For
13982486,For
13982487,For
13982488,For
13982489,For
13982490,For
13982491,For
13982492,For
13982493,For
13982494,For
13982525,Against
13982544,For
7392035,For
7392036,For
7392037,For
7392038,For
7392039,For
7722870,Withhold
7722871,Withhold
7722872,Withhold
7722873,For
7722874,For
7722875,For
8086614,Against
8086615,For
8086616,Against
8086617,For
8086618,For
8086619,Against
8086620,Against
8086621,For
8086622,Against
8438811,Against
8438812,Against
8438813,For
8438814,For
8438815,For
8438816,1 Year
8438817,Against
8438818,For
8438819,For
8438820,For
8438821,Against
8438822,For
8841915,For
8841916,For
8841917,Against
8841918,Against
8841919,For
8841920,For
9294441,For
9294442,For
9294443,For
9294444,For
9294445,Against
9294446,For
9294455,Against
9294456,For
9294457,Against
9294458,Against
10221044,For
10221045,For
10221046,For
10221047,For
10221048,For
10221049,Against
10221050,For
10221051,For
10221052,For
10221053,For
10221054,For
10221055,For
10221056,For
10221057,Against
10766362,For
10766363,For
10766364,Against
10766365,For
10766366,For
10766367,Against
10766368,For
10766369,For
10766370,For
10766371,For
10766372,For
10766373,For
10766374,For
10766375,For
10766376,For
10766377,Against
12110008,For
12110009,For
12110010,For
12110011,For
12110012,For
12110013,For
12110014,For
12110015,For
12110016,For
12110017,For
12110019,For
12110020,For
12110027,Against
12807545,For
12807546,For
12807547,For
12807548,For
12807549,For
12807550,For
12807551,For
12807552,For
12807553,For
12807554,For
12807555,For
12807556,For
12807557,For
8168442,For
8168443,For
8168444,For
8168445,Against
8168446,For
8929396,Withhold
8929397,For
8929398,For
8929416,Against
8929417,For
8929418,For
10320156,For
10320157,For
10320158,For
10320159,Against
10320160,For
11500567,For
11500568,For
11500569,For
11500574,For
11500575,1 Year
11500576,For
12250828,Withhold
12250829,For
12250830,For
12250831,For
12250832,For
12970736,For
12970737,For
12970738,Against
12970739,For
13659801,For
13659802,For
13659803,For
13659804,For
13659805,For
14383006,For
14383007,For
14383008,For
14383009,Against
14383010,For
7687784,For
7687785,For
7687786,For
8039437,For
8039438,For
8039439,For
8039440,For
8039441,For
8039442,For
10100712,For
10100713,For
10100714,For
10100715,For
10100716,For
10100717,For
10100718,For
12677964,For
12677965,For
12677966,For
12677967,For
12677968,For
12677969,For
7498275,For
7498284,For
7498276,Withhold
7498277,For
7498278,For
7498279,For
7498280,For
7498281,For
7498282,Withhold
7498283,For
7498285,For
7498286,For
7498287,Against
7498288,For
7697784,For
7697793,For
7697785,Withhold
7697786,For
7697787,For
7697788,For
7697789,For
7697790,For
7697791,For
7697792,For
7697794,For
7697795,For
8040486,For
8040487,Against
8040488,For
8040489,For
8040490,For
8040491,Against
8040492,For
8040493,For
8040494,For
8040495,For
8040496,Against
8040497,For
8393268,For
8393269,Against
8393270,For
8393271,For
8393272,For
8393273,For
8393274,Against
8393275,For
8393276,For
8393277,For
8393278,For
8393279,For
8393280,1 Year
8800612,For
8800613,For
8800614,For
8800615,For
8800616,For
8800617,For
8800618,Against
8800619,For
8800620,For
8800621,For
8800622,For
8800623,Against
8800624,Against
8800625,For
9255430,For
9255431,For
9255432,For
9255433,For
9255434,For
9255435,For
9255436,For
9255437,For
9255438,For
9255439,For
9255440,For
9255441,Against
9255442,For
9684605,For
9684606,For
9684607,For
9684608,For
9684609,Against
9684610,For
9684611,For
9684612,For
9684616,For
9684617,For
9684630,For
9684631,Against
9684626,Against
9684627,For
10165507,Against
10165508,For
10165509,For
10165510,For
10165511,Against
10165512,Against
10165513,For
10165514,Against
10165515,Against
10165516,For
10727206,For
10727207,For
10727208,For
10727209,For
10727210,For
10727211,Against
10727212,Against
10727213,For
10727214,For
10727215,Against
10727216,For
11330541,For
11330542,For
11330543,For
11330544,For
11330545,For
11330546,Against
11330547,For
11330548,For
11330549,For
11330550,Against
11330551,1 Year
11330552,For
12110633,For
12110634,For
12110635,For
12110636,For
12110637,For
12110638,For
12110639,For
12110640,For
12110641,For
12110642,For
12110650,For
12110651,For
12774288,For
12774289,For
12774290,For
12774291,For
12774292,For
12774293,For
12774294,For
12774295,For
12774296,For
12774297,For
12774298,For
12774299,For
13450692,For
13450693,For
13450694,For
13450695,For
13450696,For
13450697,For
13450698,For
13450699,For
13450700,For
13450701,For
13450702,For
13450703,For
13450704,For
12978667,For
12978668,For
12978669,For
12978670,For
13654031,For
13654032,For
13654033,For
13654034,Against
13654035,For
14378487,For
14378488,For
14378489,For
14378490,For
14378491,Against
14378492,For
8718872,For
8718873,For
8718874,Withhold
8718875,For
8718876,For
8718877,For
8718878,Against
8353993,For
8353994,Withhold
8353995,For
8353996,For
8353997,Against
8353998,1 Year
8718943,For
8718944,For
8718945,Against
8718946,Against
8718947,For
10188470,For
10188471,For
10188472,For
10188473,For
10188474,For
10188475,For
10829605,For
10829606,For
10829607,For
10829608,Against
10829609,For
12060482,For
12060484,For
12060485,For
12060486,For
12060487,For
7262442,For
7262443,For
7262444,For
7262445,For
7262446,For
7262447,For
7262448,For
7262449,For
7584323,For
7584324,For
7584325,For
7584326,For
7584327,For
7584328,For
7584329,For
7945079,For
7945080,For
7945081,For
7945082,For
7945083,For
7945084,For
7945085,For
8292162,For
8292163,For
8292164,For
8292165,For
8292166,For
8292167,For
8292168,For
8292169,For
8292170,Against
8292171,1 Year
8641292,Against
8641293,For
8641294,For
8641295,For
8641296,For
8641297,For
8641298,For
8641299,Against
9109991,For
9109992,For
9109993,For
9109994,For
9109995,For
9109996,For
9109997,For
9109998,For
9109999,For
9110000,For
9110001,Against
9110002,For
9110003,For
9110004,For
9110005,For
9110006,Against
9536013,For
9536014,For
9536015,For
9536016,For
9536017,For
9536018,For
9536019,For
9536020,For
9536021,For
9536022,For
9536023,For
9536024,For
9536025,For
9536035,For
9536036,For
9536037,For
10001181,For
10001182,For
10001183,For
10001184,For
10001185,For
10001186,For
10001187,For
10001188,For
10001189,For
10001190,For
10001191,For
10001192,For
10001193,For
10001194,For
10001195,For
10001196,For
10550791,For
10550792,For
10550793,For
10550794,For
10550795,For
10550796,Against
10550797,For
10550798,For
10550799,For
10550800,For
10550801,For
10550802,For
10550803,For
10550804,For
11132074,For
11132075,For
11132076,For
11132077,For
11132078,For
11132079,For
11132080,For
11132081,For
11132082,For
11132083,For
11132084,For
11132085,For
11132086,For
11132087,1 Year
11832110,For
11832111,For
11832112,For
11832113,For
11832114,For
11832115,For
11832116,For
11832117,For
11832118,For
11832119,For
11832120,For
11832121,For
11832122,For
12553364,For
12553365,Against
12553366,For
12553367,For
12553368,For
12553369,For
12553370,For
12553371,For
12553372,Against
12553373,For
12553374,For
12553375,For
12553376,For
12553377,For
12553378,Against
13243140,For
13243141,For
13243142,For
13243143,For
13243144,For
13243145,For
13243146,For
13243147,For
13243148,For
13243149,For
13243150,For
13243151,For
13243152,For
13243153,For
13243154,Against
13960352,For
13960353,For
13960354,For
13960355,For
13960356,For
13960357,For
13960358,For
13960359,For
13960360,For
13960361,For
13960362,For
13960363,For
13960364,For
13960365,For
7312580,For
7312581,For
7312582,For
7312583,For
7312584,Withhold
7312585,For
7312586,For
7312587,For
7626531,For
7626532,For
7626533,For
7626534,For
7626535,Withhold
7626536,For
7626537,For
7626538,For
8009756,For
8009757,For
8009758,For
8009759,For
8009760,Withhold
8009761,For
8009762,For
8009763,For
8009764,For
8344847,For
8344848,For
8344849,For
8344850,For
8344851,Withhold
8344852,For
8344853,For
8344854,For
8344855,1 Year
8344856,For
8344857,For
8725293,For
8725294,For
8725295,For
8725296,For
8725297,Withhold
8725298,For
8725299,For
8725300,For
8725301,For
9178803,For
9178804,For
9178805,For
9178806,For
9178807,Withhold
9178808,Withhold
9178809,For
9178810,For
9178811,For
12678804,For
12678805,For
12678806,For
12678807,For
12678808,Withhold
12678809,For
12678810,For
12678811,For
12678812,For
7328950,For
7328951,For
7328952,For
7328953,For
7328954,For
7328955,For
7328956,For
7328957,For
7328958,For
7656623,For
7656624,Withhold
7656625,For
7656626,For
7656627,For
7656628,For
7656629,For
7656630,For
7656631,For
8039263,Withhold
8039264,Withhold
8039265,Withhold
8039266,Withhold
8039267,For
8039268,Withhold
8039269,Withhold
8039270,For
8039271,For
8039272,Against
8389540,For
8389541,For
8389542,For
8389543,Withhold
8389544,Withhold
8389545,Withhold
8389546,Withhold
8389547,Against
8389548,1 Year
8389549,Against
9235591,For
9235592,For
9235593,For
9235594,For
9235595,For
9235596,For
9235598,For
9235599,Against
9235602,For
10701075,For
10701076,For
10701077,For
10701078,Against
10701079,For
10701080,For
10701081,For
10701082,For
10701083,For
10701084,For
10701085,For
12738926,For
12738927,For
12738928,For
12738929,For
12738930,For
12738957,For
12738931,For
12738932,For
12738933,For
12738934,For
12738936,For
12738937,For
7285687,For
7285688,For
7285689,Against
7285690,Against
7285691,For
7285692,For
7285693,For
7285694,Against
7285695,Against
7285696,For
7632513,Against
7632514,For
7632515,Against
7632516,For
7632517,For
7632518,For
7632519,For
7632520,For
7632521,Against
7632522,For
7632523,Against
7632524,For
7949498,For
7949499,For
7949500,Against
7949501,For
7949502,For
7949503,Against
7949504,For
7949505,For
7949506,For
7949507,For
7949508,For
8298589,For
8298590,For
8298591,For
8298592,For
8298593,For
8298594,For
8298595,Against
8298596,For
8298597,For
8298598,For
8298599,For
8298644,For
8298645,1 Year
8677268,For
8677269,For
8677270,For
8677271,For
8677272,For
8677273,For
8677274,For
8677275,For
8677276,For
8677277,For
8677278,For
8677279,For
8677280,Against
11141811,For
11141812,Against
11141813,Against
11141814,For
11141815,For
11141816,For
11141817,For
11141818,For
11141819,For
11141820,For
11141821,For
11141822,Against
11141823,1 Year
11880789,For
11880790,For
11880791,For
11880792,For
11880793,For
11880794,For
11880795,For
11880796,For
11880797,For
11880814,For
11880815,For
11880816,For
12616393,For
12616394,For
12616395,For
12616396,For
12616397,For
12616398,For
12616399,For
12616400,For
12616401,For
12616402,For
13315641,For
13315642,For
13315643,For
13315644,For
13315645,For
13315646,For
13315647,For
13315648,For
13315649,For
13315650,Against
14054628,For
14054629,For
14054630,For
14054631,For
14054632,For
14054633,For
14054634,For
14054635,For
14054636,For
14054637,For
7634330,Against
7634331,For
7634332,Against
7634333,For
7634334,For
7634335,For
7634336,For
7634337,For
7634338,For
7968417,For
7968418,For
7968419,Withhold
7968420,For
7968421,For
7968422,For
7968423,For
7968424,For
7968425,For
7968426,For
7968427,For
9146946,Withhold
9146947,For
9146948,Withhold
9146949,For
9146950,For
9146951,For
9146952,For
9146953,For
9146954,For
10030177,For
10030178,For
10030179,For
10030180,For
10030181,For
10030182,For
10030183,For
10030184,For
10030185,For
10563130,For
10563131,For
10563132,For
10563133,For
10563134,For
10563135,For
10563136,For
10563137,For
11158551,For
11158552,For
11158553,For
11158554,For
11158555,Withhold
11158556,For
11158557,For
11158558,For
11158559,For
11158560,For
11158561,For
11158562,1 Year
11158563,For
11870383,For
11870384,For
11870385,For
11870386,For
11870387,Withhold
11870388,For
11870389,For
11870390,For
11870391,For
12746371,For
12746372,For
12746373,For
12746374,For
12746377,For
12746375,Withhold
12746376,For
12746388,For
